iter	Passed	Remaining
0	318	317734
1	575	287161
2	818	272119
3	1279	318699
4	1549	308435
5	1876	310815
6	2138	303318
7	2394	296971
8	2626	289201
9	2878	284944
10	3179	285875
11	3558	293004
12	3785	287444
13	3988	280890
14	4279	280998
15	4544	279460
16	4853	280647
17	5190	283181
18	5496	283785
19	5769	282684
20	6059	282497
21	6386	283912
22	6662	283022
23	6892	280281
24	7174	279800
25	7296	273348
26	7415	267235
27	7559	262436
28	7684	257314
29	7802	252271
30	7921	247622
31	8038	243157
32	8157	239045
33	8267	234892
34	8416	232060
35	8659	231873
36	8913	231983
37	9167	232080
38	9480	233600
39	9710	233062
40	10005	234040
41	10282	234538
42	10550	234802
43	10831	235337
44	11148	236597
45	11348	235367
46	11560	234407
47	11831	234651
48	12011	233123
49	12280	233326
50	12492	232459
51	12761	232650
52	12985	232023
53	13241	231975
54	13496	231902
55	13794	232532
56	14095	233196
57	14306	232354
58	14550	232074
59	14790	231720
60	15170	233522
61	15314	231686
62	15432	229530
63	15588	227979
64	15854	228055
65	16126	228214
66	16356	227775
67	16609	227643
68	16796	226633
69	16963	225375
70	17256	225797
71	17458	225020
72	17711	224908
73	17947	224589
74	18126	223559
75	18325	222800
76	18664	223728
77	19023	224871
78	19261	224560
79	19561	224953
80	19893	225699
81	20215	226319
82	20515	226662
83	20927	228207
84	21079	226916
85	21212	225439
86	21347	224027
87	21460	222406
88	21629	221400
89	21865	221082
90	22095	220711
91	22356	220650
92	22661	221008
93	22856	220295
94	23088	219951
95	23324	219637
96	23535	219100
97	23784	218915
98	24033	218728
99	24242	218182
100	24404	217220
101	24545	216095
102	24709	215190
103	24849	214089
104	24967	212821
105	25103	211724
106	25292	211085
107	25482	210465
108	25756	210544
109	26032	210622
110	26275	210440
111	26658	211367
112	27114	212835
113	27530	213965
114	27782	213805
115	27990	213305
116	28197	212808
117	28456	212701
118	28814	213325
119	29060	213112
120	29303	212871
121	29528	212511
122	29748	212109
123	30029	212145
124	30275	211926
125	30494	211521
126	30709	211099
127	30915	210612
128	31145	210291
129	31490	210746
130	31707	210331
131	31926	209940
132	32147	209561
133	32470	209844
134	32739	209773
135	33030	209842
136	33261	209523
137	33482	209141
138	33819	209488
139	34014	208945
140	34246	208633
141	34518	208567
142	34763	208335
143	35018	208166
144	35288	208079
145	35527	207809
146	35805	207767
147	36007	207284
148	36317	207425
149	36718	208070
150	36974	207890
151	37234	207728
152	37435	207242
153	37660	206889
154	37914	206695
155	38235	206864
156	38483	206636
157	38740	206453
158	39032	206456
159	39331	206490
160	39548	206094
161	39879	206292
162	40142	206130
163	40448	206187
164	40711	206026
165	41044	206209
166	41361	206314
167	41760	206815
168	42020	206623
169	42297	206511
170	42420	205652
171	42540	204786
172	42665	203955
173	42890	203604
174	43155	203445
175	43351	202961
176	43548	202488
177	43875	202614
178	44248	202947
179	44613	203240
180	44880	203076
181	45172	203027
182	45509	203175
183	45856	203362
184	46111	203139
185	46414	203127
186	46718	203110
187	47054	203235
188	47327	203083
189	47548	202705
190	47782	202385
191	48019	202083
192	48202	201550
193	48466	201361
194	48623	200728
195	48750	199977
196	48972	199618
197	49200	199288
198	49553	199458
199	49792	199170
200	50032	198885
201	50335	198850
202	50557	198496
203	50882	198541
204	51077	198082
205	51306	197755
206	51551	197490
207	51818	197309
208	52047	196985
209	52313	196799
210	52583	196628
211	52881	196561
212	53324	197026
213	53524	196590
214	53840	196579
215	54108	196392
216	54373	196196
217	54716	196277
218	55006	196165
219	55257	195912
220	55517	195694
221	55699	195198
222	55889	194735
223	56111	194386
224	56348	194087
225	56563	193717
226	56752	193258
227	57023	193078
228	57401	193261
229	57743	193313
230	57967	192973
231	58187	192621
232	58482	192516
233	58703	192164
234	58925	191822
235	59230	191747
236	59618	191936
237	59997	192091
238	60257	191865
239	60601	191905
240	60918	191855
241	61178	191625
242	61426	191357
243	61724	191245
244	62126	191450
245	62380	191199
246	62587	190803
247	62874	190652
248	63123	190385
249	63333	189999
250	63615	189833
251	63848	189519
252	64147	189400
253	64493	189418
254	64725	189101
255	65010	188936
256	65351	188935
257	65609	188691
258	65767	188162
259	66014	187888
260	66203	187450
261	66390	187009
262	66555	186507
263	66698	185947
264	66866	185460
265	67076	185090
266	67287	184726
267	67592	184617
268	67859	184406
269	68126	184195
270	68366	183908
271	68650	183741
272	68905	183495
273	69162	183255
274	69405	182977
275	69704	182846
276	69936	182540
277	70299	182575
278	70519	182238
279	70714	181837
280	71083	181883
281	71337	181632
282	71573	181336
283	71811	181046
284	72019	180679
285	72262	180404
286	72464	180024
287	72614	179520
288	72984	179556
289	73177	179159
290	73472	179010
291	73691	178677
292	73996	178550
293	74210	178205
294	74475	177983
295	74746	177776
296	75062	177674
297	75235	177233
298	75462	176919
299	75761	176777
300	75940	176353
301	76132	175961
302	76278	175466
303	76395	174905
304	76522	174371
305	76644	173827
306	76780	173319
307	77010	173023
308	77203	172645
309	77384	172244
310	77513	171725
311	77781	171518
312	78003	171208
313	78252	170959
314	78425	170544
315	78689	170328
316	78923	170045
317	79256	169977
318	79622	169978
319	79946	169886
320	80180	169602
321	80480	169457
322	80750	169250
323	80903	168798
324	81163	168569
325	81366	168224
326	81575	167890
327	81803	167597
328	81997	167234
329	82222	166937
330	82504	166754
331	82711	166419
332	82969	166189
333	83226	165954
334	83412	165580
335	83640	165288
336	83938	165136
337	84143	164801
338	84407	164581
339	84635	164292
340	84858	163992
341	85091	163713
342	85287	163363
343	85514	163074
344	85758	162817
345	85972	162503
346	86235	162281
347	86382	161842
348	86491	161334
349	86599	160827
350	86714	160335
351	86835	159857
352	86942	159353
353	87087	158922
354	87196	158427
355	87396	158098
356	87540	157670
357	87779	157414
358	88042	157201
359	88259	156905
360	88541	156726
361	88768	156447
362	89193	156518
363	89503	156385
364	89713	156077
365	89924	155770
366	90239	155645
367	90443	155326
368	90691	155084
369	90942	154847
370	91127	154498
371	91332	154184
372	91731	154196
373	92009	154005
374	92331	153885
375	92678	153807
376	92843	153425
377	93045	153106
378	93480	153169
379	93826	153085
380	94095	152874
381	94377	152683
382	94532	152288
383	94743	151983
384	95100	151913
385	95536	151967
386	95901	151906
387	96136	151638
388	96450	151493
389	96664	151192
390	96869	150878
391	97054	150534
392	97281	150253
	143583
394	93615	143385
395	93932	143270
396	94110	142944
397	94333	142685
398	94712	142661
399	94949	142423
400	95188	142189
401	95428	141955
402	95632	141668
403	95785	141307
404	96052	141114
405	96431	141084
406	96600	140746
407	96787	140436
408	97071	140267
409	97489	140289
410	97694	140005
411	97851	139652
412	97991	139276
413	98246	139063
414	98468	138805
415	98583	138395
416	98690	137977
417	98804	137570
418	98939	137193
419	99057	136794
420	99167	136384
421	99278	135978
422	99398	135586
423	99520	135198
836	279034
408	192111	278278
409	192420	277574
410	192716	276853
411	193035	276168
412	193340	275463
413	193658	274780
414	193930	274031
415	194238	273338
416	194459	272523
417	194760	271824
418	194985	271020
419	195307	270354
420	195586	269629
421	195807	268828
422	196015	268012
423	196318	267327
424	196483	266458
425	196663	265611
426	196927	264881
427	197200	264166
428	197513	263504
429	197780	262784
430	197993	261996
431	198243	261258
432	198501	260532
433	198738	259782
434	199059	259144
435	199291	258391
436	199456	257555
437	199573	256659
438	199718	255803
439	199886	254981
440	200254	254414
441	200646	253878
442	200926	253203
443	201179	252496
444	201371	251714
445	201528	250891
446	201685	250072
447	201982	249427
448	202278	248784
449	202501	248052
450	202782	247395
451	202990	246648
452	203181	245885
453	203425	245188
454	203609	244421
455	203802	243667
456	204139	243086
457	204549	242594
458	204785	241897
459	205229	241446
460	205461	240747
461	205711	240071
462	205908	239335
463	206156	238660
464	206454	238045
465	206717	237391
466	207064	236835
467	207436	236309
468	207701	235660
469	208028	235085
470	208399	234560
471	208662	233914
472	208951	233299
473	209182	232621
474	209493	232033
475	209762	231401
476	210014	230750
477	210263	230100
478	210450	229381
479	210653	228684
480	210856	227988
481	211098	227337
482	211379	226728
483	211590	226046
484	211838	225406
485	212081	224762
486	212407	224207
487	212707	223626
488	213036	223076
489	213282	222441
490	213490	221768
491	213740	221140
492	213949	220472
493	214207	219856
494	214479	219255
495	214811	218717
496	215127	218163
497	215356	217523
498	215590	216889
499	215877	216309
500	216083	215651
501	216330	215035
502	216549	214392
503	216748	213731
504	217037	213161
505	217272	212540
506	217503	211915
507	217779	211336
508	218031	210734
509	218269	210121
510	218574	209574
511	218838	208988
512	219097	208399
513	219355	207810
514	219557	207169
515	219731	206505
516	220096	206020
517	220281	205369
518	220541	204788
519	220809	204216
520	221180	203741
521	221399	203126
522	221587	202485
523	221795	201863
524	221973	201216
525	222184	200601
526	222478	200061
527	222634	199399
528	222761	198713
529	222924	198061
530	223157	197472
531	223335	196838
532	223492	196186
533	223599	195492
534	223772	194858
535	223903	194188
536	224169	193638
537	224393	193053
538	224561	192421
539	224720	191783
540	224915	191178
541	225113	190576
542	225402	190053
543	225617	189468
544	225975	189005
545	226203	188433
546	226505	187924
547	226751	187370
548	227168	186958
549	227399	186393
550	227638	185835
551	227831	185242
552	228026	184651
553	228223	184064
554	228490	183534
555	228798	183038
556	229059	182505
557	229307	181964
558	229505	181383
559	229608	180729
560	229789	180138
561	230042	179605
562	230327	179098
563	230564	178554
564	230797	178008
565	231112	177527
566	231304	176951
567	231551	176420
568	231783	175877
569	232021	175341
570	232229	174783
571	232516	174285
572	232722	173728
573	232952	173190
574	233166	172640
575	233349	172070
576	233599	171549
577	233852	171032
578	234053	170478
579	234252	169923
580	234487	169396
581	234712	168863
582	234933	168328
583	235156	167795
584	235380	167265
585	235589	166724
586	235844	166217
587	236095	165709
588	236577	165363
589	236736	164790
590	236966	164270
591	237188	163744
592	237378	163197
593	237619	162687
594	237977	162257
595	238342	161832
596	238537	161292
597	238852	160835
598	239133	160355
599	239348	159832
600	239641	159361
601	239902	158870
602	240114	158347
603	240312	157816
604	240527	157298
605	240668	156732
606	240851	156195
607	240974	155620
608	241086	155040
609	241185	154454
610	241424	153957
611	241667	153464
612	242079	153079
613	242428	152654
614	242742	152208
615	243001	151727
616	243138	151172
617	243268	150613
618	243542	150144
619	243872	149711
620	244059	149191
621	244292	148699
622	244633	148274
623	244819	147756
624	245000	147236
625	245130	146686
626	245233	146121
627	245335	145557
628	245442	144998
976	145868
630	248223	145387
631	248467	144906
632	248695	144416
633	248888	143906
634	249039	143374
635	249216	142858
636	249337	142310
	243609	138440
638	243759	137926
639	243858	137385
640	243959	136846
641	244057	136306

642	244505	135963
643	244802	135536
644	245062	135088
645	245400	134684
646	245733	134278
647	246150	133918
648	246505	133523
649	246733	133061
650	247021	132631
651	247271	132181
652	247453	131696
653	247719	131257
654	247953	130801
655	248179	130341
656	248356	129857
657	248475	129343
658	248580	128823

661	246217	125902
662	246348	125406
663	246474	124909
664	246596	124412
665	246802	123957
666	247096	123548
667	247502	123194
668	247784	122779
